Номенклатура/ Характеристика номенклатури;Изд группа (св-во Номенклатура);Издательство (св-во Номенклатура);Автор (св-во Номенклатура);Номенклатура.Артикул ;Серия (св-во Номенклатура);Номер дозволу МОтаН (св-во Номенклатура);Новые поступления;Цена изменена;Рекомендованая розничная ;
        Harry Potter 2 Chamber of Secrets [Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;251.00 грн;шт
        Harry Potter 2 Chamber of Secrets Illustrated Edition [Hardcover];Rowling, J.K.;;Rowling, J.K.;9.78141E+12;;Bloomsbury;Нет;Нет;1 050.00 грн;шт
        Harry Potter 2 Chamber of Secrets Rejacket [Hardcover];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;468.00 грн;шт
        Harry Potter 2 Chamber of Secrets Rejacket [Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;252.00 грн;шт
        Harry Potter 3 Prisoner of Azkaban [Hardcover];;;Rowling, J.K.;9.78075E+12;;;Нет;Нет;467.00 грн;шт
        Harry Potter 3 Prisoner of Azkaban [Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;252.00 грн;шт
        Harry Potter 3 Prisoner of Azkaban Rejacket [Hardcover];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;467.00 грн;шт
        Harry Potter 3 Prisoner of Azkaban Rejacket [Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;252.00 грн;шт
        Harry Potter 4 Goblet of Fire [Hardcover];;;Rowling, J.K.;9.78075E+12;;;Нет;Нет;646.00 грн;шт
        Harry Potter 4 Goblet of Fire [Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;323.00 грн;шт
        Harry Potter 4 Goblet of Fire Rejacket [Hardcover];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;648.00 грн;шт
        Harry Potter 4 Goblet of Fire Rejacket [Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;324.00 грн;шт
        Harry Potter 5 Order of the Phoenix [Hardcover];;;Rowling, J.K.;9.78075E+12;;;Нет;Нет;646.00 грн;шт
        Harry Potter 5 Order of the Phoenix [Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;323.00 грн;шт
        Harry Potter 5 Order of the Phoenix Rejacket [Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;324.00 грн;шт
        Harry Potter 6 Half Blood Prince [Hardcover];;;Rowling, J.K.;9.78075E+12;;;Нет;Нет;646.00 грн;шт
        Harry Potter 6 Half Blood Prince [Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;306.00 грн;шт
        Harry Potter 6 Half Blood Prince Rejacket [Hardcover];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;648.00 грн;шт
        Harry Potter 6 Half Blood Prince Rejacket [Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;324.00 грн;шт
        Harry Potter 7 Deathly Hallows Rejacket [Hardcover];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;648.00 грн;шт
        Harry Potter 7 Deathly Hallows Rejacket [Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;324.00 грн;шт
        Harry Potter Boxed Set: The Complete Collection [Adult Paperback];;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;2 100.00 грн;шт
        Hinterland [Paperback];;;Brothers, C.;9.78141E+12;;Bloomsbury;Нет;Нет;284.00 грн;шт
        Historic Heston;;;Blumenthal, H.;9.78141E+12;;;Нет;Нет;2 870.00 грн;шт
        Hogwarts Classics Box Set;Rowling, J.K.;;Rowling, J.K.;9.78141E+12;;Bloomsbury Childrens;Нет;Нет;595.00 грн;шт
        Hogwarts Library Boxed Set;;;Rowling, J.K.;9.78141E+12;;;Нет;Нет;855.00 грн;шт
        Infographic Guide to Cycling;;;;9.78147E+12;;A&C Black Agencies;Нет;Нет;467.00 грн;шт
        Israel's Lightning Strike: The Raid on Entebbe 1976;;;Dunstan, S.;9.78185E+12;;;Нет;Нет;378.00 грн;шт
        John Green: Paper Towns (Film Tie-In);;;Green, J.;9.78141E+12;;;Нет;Нет;175.00 грн;шт
